id,title,type,description,label,priority,parent
1,Foundation & Infrastructure,epic,"Set up Python project scaffolding, configuration system, database layer, and Docker infrastructure",infra,1,
2,Create pyproject.toml,task,"Define project metadata, Python version requirements, and all dependency declarations for the application",infra,1,1
3,Create .env.example,task,"Document all required environment variables with placeholder values for PostgreSQL, Slack, Google OAuth, SearchApi, OpenRouter, and timezone",infra,1,1
4,Create Docker Compose configuration,task,"Define services for PostgreSQL 15-alpine and the Python application with health checks, volumes, and network configuration",infra,1,1
5,Create database initialization script,task,"Port init-users.sh to create n8n_custom_data database and n8n_custom_data_user with appropriate permissions",infra,1,1
6,Create project directory structure,task,"Create all package directories: is2news/, config/, is2news/pipeline/, is2news/services/, is2news/db/, is2news/prompts/, is2news/validators/, is2news/utils/, tests/",infra,1,1
7,Create __init__.py files,task,"Add __init__.py to all Python packages to establish proper module hierarchy",infra,1,1
8,Configuration System,feature,"Implement centralized configuration management using Pydantic Settings for all environment variables and LLM model mappings",infra,1,1
9,Create Pydantic Settings class,task,"Define Settings model with fields for PostgreSQL connection, Slack tokens, Google OAuth paths, SearchApi key, OpenRouter key, timezone, and all service endpoints",infra,1,8
10,Create LLM config module,task,"Port the 21 LLM model mappings from llm_global_config_utility.json into a Python configuration that maps purpose keys to model identifiers",json-conversion,1,8
11,Create environment variable validation,task,"Implement startup validation that checks all required environment variables are present and correctly formatted",infra,1,8
12,Database Layer,feature,"Implement SQLAlchemy async ORM models for all 7 database tables, session management, and Alembic migrations",infra,1,1
13,Create SQLAlchemy model for curated_articles,task,"Define model with url (PK), title, origin, publish_date, approved, industry_news, newsletter_id, created_at matching the existing PostgreSQL schema",json-conversion,1,12
14,Create SQLAlchemy model for summarization_user_feedback,task,"Define model with id (serial PK), feedback_text, created_at matching the existing schema",json-conversion,1,12
15,Create SQLAlchemy model for newsletter_themes,task,"Define model with theme (PK), theme_body, theme_summary, newsletter_id, approved, created_at matching the existing schema",json-conversion,1,12
16,Create SQLAlchemy model for newsletter_themes_user_feedback,task,"Define model with id (serial PK), feedback_text, created_at, newsletter_id matching the existing schema",json-conversion,1,12
17,Create SQLAlchemy model for markdowngenerator_user_feedback,task,"Define model with id (serial PK), feedback_text, created_at matching the existing schema",json-conversion,1,12
18,Create SQLAlchemy model for htmlgenerator_user_feedback,task,"Define model with id (serial PK), feedback_text, created_at matching the existing schema",json-conversion,1,12
19,Create SQLAlchemy model for newsletter_email_subject_feedback,task,"Define model with id (serial PK), feedback_text, created_at, newsletter_id matching the existing schema",json-conversion,1,12
20,Create async database session management,task,"Implement async SQLAlchemy engine and session factory using asyncpg driver with connection pooling",infra,1,12
21,Create Alembic migration configuration,task,"Initialize Alembic with async support and configure for the n8n_custom_data database",infra,1,12
22,Create initial database migration,task,"Generate Alembic migration that creates all 7 tables matching the existing production schema",infra,1,12
23,Create CRUD operations for curated_articles,task,"Implement async functions for: fetch unapproved, fetch by filter, upsert with ON CONFLICT, update approved status",json-conversion,1,12
24,Create CRUD operations for feedback tables,task,"Implement async functions for: insert feedback, fetch last N entries ordered by created_at DESC, shared across all 5 feedback tables",json-conversion,1,12
25,Create CRUD operations for newsletter_themes,task,"Implement async functions for: insert theme, update approval status, fetch by newsletter_id",json-conversion,1,12
26,Pipeline Framework,feature,"Create the pipeline execution model with PipelineContext, step interfaces, sequential and parallel execution support",json-conversion,1,1
27,Create PipelineContext dataclass,task,"Define dataclass that accumulates state across pipeline steps: articles, summaries, formatted_theme, document IDs, newsletter_id, trigger source",json-conversion,1,26
28,Create base pipeline step interface,task,"Define async callable interface that receives PipelineContext and returns updated PipelineContext",json-conversion,1,26
29,Create pipeline orchestrator,task,"Implement run_pipeline function that executes steps 1-5 sequentially then steps 6a-6d via asyncio.gather",json-conversion,1,26
30,Create pipeline state tracking,task,"Implement per-execution state tracking for validation attempt counters and intermediate results",json-conversion,1,26
31,Service Integrations,epic,"Implement Python clients for all external services: LLM providers, Slack, Google Sheets, Google Docs, SearchApi, and web content fetching",service-integration,1,
32,LLM Service,feature,"Create LiteLLM abstraction layer that provides unified completion interface routed through the global LLM config",service-integration,1,31
33,Create LiteLLM wrapper,task,"Implement async completion() function that accepts a model config key and prompt, routes through LiteLLM to the configured provider/model",service-integration,1,32
34,Implement model routing from config,task,"Map LLM config keys (LLM_SUMMARY_MODEL etc.) to LiteLLM model strings, supporting OpenRouter, direct Anthropic, OpenAI, and Google providers",service-integration,1,32
35,Implement LLM error handling,task,"Handle API errors, rate limits, and timeouts with appropriate error routing matching n8n's continueErrorOutput behavior",service-integration,1,32
